,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__n_estimators,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,7.896625280380249,0.07186416098547277,0.02610325813293457,0.0025615972585200965,,2,200,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.5294117647058824,0.5411764705882353,0.46153846153846156,0.41379310344827586,0.39473684210526316,0.4681313284772236,0.059116400218493126,49
16,13.20175404548645,0.17217938072332373,0.025975751876831054,0.002120032598940324,,2,200,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200, 'smote__sampling_strategy': 1.0}",0.5405405405405406,0.5111111111111111,0.4819277108433735,0.40860215053763443,0.4634146341463415,0.4811192294358002,0.04472859990722916,14
17,13.257228422164918,0.144090492891399,0.027424383163452148,0.0011665793486483984,,2,200,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200, 'smote__sampling_strategy': 'auto'}",0.5405405405405406,0.5111111111111111,0.4819277108433735,0.40860215053763443,0.4634146341463415,0.4811192294358002,0.04472859990722916,14
18,1.9035531997680664,0.016984079477737942,0.008677196502685548,0.001609702386854897,,4,50,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 50, 'smote__sampling_strategy': 0.5}",0.5507246376811594,0.5517241379310345,0.4470588235294118,0.3695652173913043,0.4691358024691358,0.47764172380040915,0.06858208528325672,31
19,3.1217793464660644,0.015660954571416592,0.008752679824829102,0.0012724053982335196,,4,50,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 50, 'smote__sampling_strategy': 1.0}",0.5168539325842697,0.5274725274725275,0.43956043956043955,0.4489795918367347,0.4631578947368421,0.47920487723816274,0.036027690437716225,25
20,3.1307919025421143,0.02760922578187331,0.009007692337036133,0.0012600103995030875,,4,50,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 50, 'smote__sampling_strategy': 'auto'}",0.5168539325842697,0.5274725274725275,0.43956043956043955,0.4489795918367347,0.4631578947368421,0.47920487723816274,0.036027690437716225,25
21,3.767453670501709,0.05324142922399606,0.014060735702514648,0.001504806652060286,,4,100,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.547945205479452,0.5287356321839081,0.4523809523809524,0.3695652173913043,0.45,0.4697254014871234,0.06375347664279837,45
22,6.182609748840332,0.05625406469156328,0.014305782318115235,0.0016104013265558147,,4,100,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.5057471264367817,0.5111111111111111,0.45454545454545453,0.4489795918367347,0.47191011235955055,0.4784586792579265,0.025669372002906442,27
23,6.17814040184021,0.05978119148717013,0.014118623733520509,0.0018144300464332146,,4,100,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.5057471264367817,0.5111111111111111,0.45454545454545453,0.4489795918367347,0.47191011235955055,0.4784586792579265,0.025669372002906442,27
24,7.477172994613648,0.05337923799092959,0.02701096534729004,0.0016046902373123206,,4,200,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.5675675675675675,0.4943820224719101,0.4878048780487805,0.37362637362637363,0.42857142857142855,0.470390454057212,0.06547421944913302,44
