,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.7713159561157227,0.02072963342228904,0.009703445434570312,0.0011674719704048606,0.01,5,200,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 'auto'}",0.44642857142857145,0.46774193548387094,0.36065573770491804,0.366412213740458,0.4406779661016949,0.4163832848919027,0.044121036334801085,64
15,0.9621154308319092,0.020137380349663184,0.012609767913818359,0.002668009575224478,0.01,5,300,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 0.5}",0.4691358024691358,0.5333333333333333,0.3655913978494624,0.411214953271028,0.4583333333333333,0.4475217640512586,0.05653043697817094,46
16,1.0746047973632813,0.010807886123989623,0.012597799301147461,0.0014849799176815206,0.01,5,300,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 1.0}",0.47619047619047616,0.46774193548387094,0.37168141592920356,0.368,0.43859649122807015,0.4244420637663241,0.04630878408755822,60
17,1.0794873237609863,0.021728901192787486,0.012066030502319336,0.0016759866955635668,0.01,5,300,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 'auto'}",0.47619047619047616,0.46774193548387094,0.37168141592920356,0.368,0.43859649122807015,0.4244420637663241,0.04630878408755822,60
18,0.4826652050018311,0.010457698705749962,0.008133172988891602,0.0014751203227273701,0.01,7,100,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.4675324675324675,0.5052631578947369,0.37362637362637363,0.375,0.5454545454545454,0.4533753089016247,0.06909984303999664,41
19,0.5424189090728759,0.004593925330916983,0.006172084808349609,0.001336798703549696,0.01,7,100,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.4067796610169492,0.4603174603174603,0.3464566929133858,0.3609022556390977,0.43410852713178294,0.4017129194037352,0.042961378770277336,70
20,0.5479379177093506,0.01889100942358906,0.007321786880493164,0.002415018299358394,0.01,7,100,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.4067796610169492,0.4603174603174603,0.3464566929133858,0.3609022556390977,0.43410852713178294,0.4017129194037352,0.042961378770277336,70
21,0.9098381996154785,0.012058659692107655,0.009832191467285156,0.0007278798939810353,0.01,7,200,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.4533333333333333,0.5102040816326531,0.35555555555555557,0.42105263157894735,0.5274725274725275,0.4535236259146034,0.06218240683073851,40
22,0.9933331966400146,0.0026304461742316094,0.009942388534545899,0.0006713380274401672,0.01,7,200,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 1.0}",0.46153846153846156,0.5263157894736842,0.37168141592920356,0.39344262295081966,0.46846846846846846,0.4442893516721275,0.05561978089340419,47
23,1.0250626087188721,0.04829041608915106,0.00971999168395996,0.001524996372648556,0.01,7,200,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 'auto'}",0.46153846153846156,0.5263157894736842,0.37168141592920356,0.39344262295081966,0.46846846846846846,0.4442893516721275,0.05561978089340419,47
