,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.32160086631774903,0.0025635540402715843,0.005873441696166992,0.0013590238214522697,0.5,0.3,3,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.4927536231884058,0.5128205128205128,0.4,0.3764705882352941,0.4810126582278481,0.45261147649441213,0.054052843485213706,51
11,0.6794244289398194,0.035984565124890365,0.007870006561279296,0.001061040526116372,0.5,0.3,3,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.46153846153846156,0.42857142857142855,0.36923076923076925,0.425,0.4864864864864865,0.4341654291654292,0.039543859032093856,66
12,0.3586390495300293,0.004993955998478704,0.007013845443725586,0.0011252514294418316,0.5,0.3,5,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.5079365079365079,0.4935064935064935,0.44155844155844154,0.47058823529411764,0.5135135135135135,0.4854206383618148,0.026478094945047412,12
13,0.5785307884216309,0.005083249337228736,0.006806278228759765,0.0019818137959206443,0.5,0.3,5,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.5,0.5128205128205128,0.4857142857142857,0.475,0.5507246376811594,0.5048518872431916,0.026263023437584895,1
14,0.889011001586914,0.015910160407622363,0.007274818420410156,0.001993733221871635,0.5,0.3,5,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.4827586206896552,0.4935064935064935,0.48484848484848486,0.48717948717948717,0.5588235294117647,0.5014233231271771,0.028925570405116945,2
15,0.7241382122039794,0.0188737793655321,0.007337141036987305,0.0022921110221750746,0.5,0.3,10,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5396825396825397,0.48717948717948717,0.417910447761194,0.43902439024390244,0.5263157894736842,0.48202253086816144,0.04748128656686771,19
16,0.9188080310821534,0.030967153052488865,0.008373069763183593,0.001065428650386871,0.5,0.3,10,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.5483870967741935,0.48,0.42424242424242425,0.45569620253164556,0.5333333333333333,0.48833181137631937,0.04663416316680105,9
17,1.1708815097808838,0.029619896954114676,0.007817411422729492,0.001757810876652263,0.5,0.3,10,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5483870967741935,0.4533333333333333,0.417910447761194,0.46153846153846156,0.5205479452054794,0.4803434569225324,0.0473864813274729,27
18,0.1901824951171875,0.0040959612653890115,0.006867694854736328,0.0017300283187597439,0.5,0.5,3,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.4931506849315068,0.46153846153846156,0.410958904109589,0.38095238095238093,0.4634146341463415,0.442003013135656,0.04036605500650232,61
19,0.3492281913757324,0.006160242586477265,0.0069867134094238285,0.0016575701785997825,0.5,0.5,3,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.47761194029850745,0.4594594594594595,0.417910447761194,0.45714285714285713,0.5135135135135135,0.4651276436351063,0.03105607438309362,40
20,0.6773202896118165,0.04292442475503186,0.007014846801757813,0.0019140134394362584,0.5,0.5,3,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.47619047619047616,0.4444444444444444,0.4057971014492754,0.4383561643835616,0.4931506849315068,0.4515877742798528,0.030514445310385087,54
21,0.3315164089202881,0.004992189235995908,0.005832672119140625,0.0014780717998195982,0.5,0.5,5,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.45161290322580644,0.48717948717948717,0.4722222222222222,0.37037037037037035,0.5205479452054794,0.46038658564067314,0.050313472481138544,45
22,0.49710922241210936,0.004562487901423562,0.0061910152435302734,0.001586884001988185,0.5,0.5,5,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.49230769230769234,0.4657534246575342,0.42857142857142855,0.4,0.5205479452054794,0.46143609814842684,0.043174959776994405,42
23,0.7298927783966065,0.009696339886155666,0.00747385025024414,0.0013490051593875914,0.5,0.5,5,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.49230769230769234,0.4657534246575342,0.44776119402985076,0.38961038961038963,0.5070422535211268,0.46049499082531875,0.040971021555911355,43
